code,name,hex
A1,MARD A1,#FAF5CD
A2,MARD A2,#FCFED6
A3,MARD A3,#FCFF92
A4,MARD A4,#F7EC5C
A5,MARD A5,#F0D83A
A6,MARD A6,#FDA951
A7,MARD A7,#FA8C4F
A8,MARD A8,#FBDA4D
A9,MARD A9,#F79D5F
A10,MARD A10,#F47E38
A11,MARD A11,#FEDB99
A12,MARD A12,#FDA276
A13,MARD A13,#FEC667
A14,MARD A14,#F75842
A15,MARD A15,#FBF65E
A16,MARD A16,#FEFF97
A17,MARD A17,#FDE173
A18,MARD A18,#FCBF80
A19,MARD A19,#FD7E77
A20,MARD A20,#F9D666
A21,MARD A21,#FAE393
A22,MARD A22,#EDF878
A23,MARD A23,#E4C8BA
A24,MARD A24,#F3F6A9
A25,MARD A25,#FDF785
A26,MARD A26,#FFC734
B1,MARD B1,#DFF13B
B2,MARD B2,#64F343
B3,MARD B3,#A1F586
B4,MARD B4,#5FDF34
B5,MARD B5,#39E158
B6,MARD B6,#64E0A4
B7,MARD B7,#3EAE7C
B8,MARD B8,#1D9B54
B9,MARD B9,#2A5037
B10,MARD B10,#9AD1BA
B11,MARD B11,#627032
B12,MARD B12,#1A6E3D
B13,MARD B13,#C8E87D
B14,MARD B14,#ABE84F
B15,MARD B15,#305335
B16,MARD B16,#C0ED9C
B17,MARD B17,#9EB33E
B18,MARD B18,#E6ED4F
B19,MARD B19,#26B78E
B20,MARD B20,#CBECCF
B21,MARD B21,#18616A
B22,MARD B22,#0A4241
B23,MARD B23,#343B1A
B24,MARD B24,#E8FAA6
B25,MARD B25,#4E846D
B26,MARD B26,#907C35
B27,MARD B27,#D0E0AF
B28,MARD B28,#9EE5BB
B29,MARD B29,#C6DF5F
B30,MARD B30,#E3FBB1
B31,MARD B31,#B4E691
B32,MARD B32,#92AD60
C1,MARD C1,#F0FEE4
C2,MARD C2,#ABF8FE
C3,MARD C3,#A2E0F7
C4,MARD C4,#44CDFB
C5,MARD C5,#06AADF
C6,MARD C6,#54A7E9
C7,MARD C7,#3977CA
C8,MARD C8,#0F52BD
C9,MARD C9,#3349C3
C10,MARD C10,#3CBCE3
C11,MARD C11,#2ADED3
C12,MARD C12,#1E334E
C13,MARD C13,#CDE7FE
C14,MARD C14,#D5FCF7
C15,MARD C15,#21C5C4
C16,MARD C16,#1858A2
C17,MARD C17,#02D1F3
C18,MARD C18,#213244
C19,MARD C19,#18869D
C20,MARD C20,#1A70A9
C21,MARD C21,#BCDDFC
C22,MARD C22,#6BB1BB
C23,MARD C23,#C8E2FD
C24,MARD C24,#7EC5F9
C25,MARD C25,#A9E8E0
C26,MARD C26,#42ADCF
C27,MARD C27,#D0DEF9
C28,MARD C28,#BDCEE8
C29,MARD C29,#364A89
D1,MARD D1,#ACB7EF
D2,MARD D2,#868DD3
D3,MARD D3,#3554AF
D4,MARD D4,#162D7B
D5,MARD D5,#B34EC6
D6,MARD D6,#B37BDC
D7,MARD D7,#8758A9
D8,MARD D8,#E3D2FE
D9,MARD D9,#D5B9F4
D10,MARD D10,#301A49
D11,MARD D11,#BEB9E2
D12,MARD D12,#DC99CE
D13,MARD D13,#B5038D
D14,MARD D14,#862993
D15,MARD D15,#2F1F8C
D16,MARD D16,#E2E4F0
D17,MARD D17,#C7D3F9
D18,MARD D18,#9A64B8
D19,MARD D19,#D8C2D9
D20,MARD D20,#9A35AD
D21,MARD D21,#940595
D22,MARD D22,#38389A
D23,MARD D23,#EADBF8
D24,MARD D24,#768AE1
D25,MARD D25,#4950C2
D26,MARD D26,#D6C6EB
E1,MARD E1,#F6D4CB
E2,MARD E2,#FCC1DD
E3,MARD E3,#F6BDE8
E4,MARD E4,#E8649E
E5,MARD E5,#F0569F
E6,MARD E6,#EB4172
E7,MARD E7,#C53674
E8,MARD E8,#FDDBE9
E9,MARD E9,#E376C7
E10,MARD E10,#D13B95
E11,MARD E11,#F7DAD4
E12,MARD E12,#F693BF
E13,MARD E13,#B5026A
E14,MARD E14,#FAD4BF
E15,MARD E15,#F5C9CA
E16,MARD E16,#FBF4EC
E17,MARD E17,#F7E3EC
E18,MARD E18,#F9C8DB
E19,MARD E19,#F6BBD1
E20,MARD E20,#D7C6CE
E21,MARD E21,#C09DA4
E22,MARD E22,#B38C9F
E23,MARD E23,#937D8A
E24,MARD E24,#DEBEE5
F1,MARD F1,#FE9381
F2,MARD F2,#F63D4B
F3,MARD F3,#EE4E3E
F4,MARD F4,#FB2A40
F5,MARD F5,#E10328
F6,MARD F6,#913635
F7,MARD F7,#911932
F8,MARD F8,#BB0126
F9,MARD F9,#E0677A
F10,MARD F10,#874628
F11,MARD F11,#592323
F12,MARD F12,#F3536B
F13,MARD F13,#F45C45
F14,MARD F14,#FCADB2
F15,MARD F15,#D50527
F16,MARD F16,#F8C0A9
F17,MARD F17,#E89B7D
F18,MARD F18,#D07F4A
F19,MARD F19,#BE454A
F20,MARD F20,#C69495
F21,MARD F21,#F2B8C6
F22,MARD F22,#F7C3D0
F23,MARD F23,#ED806C
F24,MARD F24,#E09DAF
F25,MARD F25,#E84854
G1,MARD G1,#FFE4D3
G2,MARD G2,#FCC6AC
G3,MARD G3,#F1C4A5
G4,MARD G4,#DCB387
G5,MARD G5,#E7B34E
G6,MARD G6,#E3A014
G7,MARD G7,#985C3A
G8,MARD G8,#713D2F
G9,MARD G9,#E4B685
G10,MARD G10,#DA8C42
G11,MARD G11,#DAC898
G12,MARD G12,#FEC993
G13,MARD G13,#B2714B
G14,MARD G14,#8B684C
G15,MARD G15,#F6F8E3
G16,MARD G16,#F2D8C1
G17,MARD G17,#77544E
G18,MARD G18,#FFE3D5
G19,MARD G19,#DD7D41
G20,MARD G20,#A5452F
G21,MARD G21,#B38561
H1,MARD H1,#FFFFFF
H2,MARD H2,#FBFBFB
H3,MARD H3,#B4B4B4
H4,MARD H4,#878787
H5,MARD H5,#464648
H6,MARD H6,#2C2C2C
H7,MARD H7,#010101
H8,MARD H8,#E7D6DC
H9,MARD H9,#EFEDEE
H10,MARD H10,#EBEBEB
H11,MARD H11,#CDCDCD
H12,MARD H12,#FDF6EE
H13,MARD H13,#F4EDF1
H14,MARD H14,#CED7D4
H15,MARD H15,#9AA6A6
H16,MARD H16,#1B1213
H17,MARD H17,#F0EEEF
H18,MARD H18,#FCFFF6
H19,MARD H19,#F2EEE5
H20,MARD H20,#96A09F
H21,MARD H21,#F8FBE6
H22,MARD H22,#CACAD2
H23,MARD H23,#9B9C94
M1,MARD M1,#BBC6B6
M2,MARD M2,#909994
M3,MARD M3,#697E81
M4,MARD M4,#E0D4BC
M5,MARD M5,#D1CCAF
M6,MARD M6,#B0AA86
M7,MARD M7,#B0A796
M8,MARD M8,#AE8082
M9,MARD M9,#A68862
M10,MARD M10,#C4B3BB
M11,MARD M11,#9D7693
M12,MARD M12,#644B51
M13,MARD M13,#C79266
M14,MARD M14,#C27563
M15,MARD M15,#747D7A
